DX_type,Infection_DX
ICD9,"017.40 Tuberculosis of ear, unspecified"
ICD9,"017.41 Tuberculosis of ear, bacteriological or histological examination not done"
ICD9,"017.42 Tuberculosis of ear, bacteriological or histological examination unknown (at present)"
ICD9,"017.43 Tuberculosis of ear, tubercle bacilli found (in sputum) by microscopy"
ICD9,"017.44 Tuberculosis of ear, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"017.45 Tuberculosis of ear, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"017.46 Tuberculosis of ear, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"017.50 Tuberculosis of thyroid gland, unspecified"
ICD9,"017.51 Tuberculosis of thyroid gland, bacteriological or histological examination not done"
ICD9,"017.52 Tuberculosis of thyroid gland, bacteriological or histological examination unknown (at present)"
ICD9,"017.53 Tuberculosis of thyroid gland, tubercle bacilli found (in sputum) by microscopy"
ICD9,"017.54 Tuberculosis of thyroid gland, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"017.55 Tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"017.56 Tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"017.60 Tuberculosis of adrenal glands, unspecified"
ICD9,"017.61 Tuberculosis of adrenal glands, bacteriological or histological examination not done"
ICD9,"017.62 Tuberculosis of adrenal glands, bacteriological or histological examination unknown (at present)"
ICD9,"017.63 Tuberculosis of adrenal glands, tubercle bacilli found (in sputum) by microscopy"
ICD9,"017.64 Tuberculosis of adrenal glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"017.65 Tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"017.66 Tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"017.70 Tuberculosis of spleen, unspecified"
ICD9,"017.71 Tuberculosis of spleen, bacteriological or histological examination not done"
ICD9,"017.72 Tuberculosis of spleen, bacteriological or histological examination unknown (at present)"
ICD9,"017.73 Tuberculosis of spleen, tubercle bacilli found (in sputum) by microscopy"
ICD9,"017.74 Tuberculosis of spleen, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"017.75 Tuberculosis of spleen, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"017.76 Tuberculosis of spleen, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"017.80 Tuberculosis of esophagus, unspecified"
ICD9,"017.81 Tuberculosis of esophagus, bacteriological or histological examination not done"
ICD9,"017.82 Tuberculosis of esophagus, bacteriological or histological examination unknown (at present)"
ICD9,"017.83 Tuberculosis of esophagus, tubercle bacilli found (in sputum) by microscopy"
ICD9,"017.84 Tuberculosis of esophagus, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"017.85 Tuberculosis of esophagus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"017.86 Tuberculosis of esophagus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"017.90 Tuberculosis of other specified organs, unspecified"
ICD9,"017.91 Tuberculosis of other specified organs, bacteriological or histological examination not done"
ICD9,"017.92 Tuberculosis of other specified organs, bacteriological or histological examination unknown (at present)"
ICD9,"017.93 Tuberculosis of other specified organs, tubercle bacilli found (in sputum) by microscopy"
ICD9,"017.94 Tuberculosis of other specified organs, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"017.95 Tuberculosis of other specified organs, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"017.96 Tuberculosis of other specified organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"018.00 Acute miliary tuberculosis, unspecified"
ICD9,"018.01 Acute miliary tuberculosis, bacteriological or histological examination not done"
ICD9,"018.02 Acute miliary tuberculosis, bacteriological or histological examination unknown (at present)"
ICD9,"018.03 Acute miliary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
ICD9,"018.04 Acute miliary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"018.05 Acute miliary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"018.06 Acute miliary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"018.80 Other specified miliary tuberculosis, unspecified"
ICD9,"018.81 Other specified miliary tuberculosis, bacteriological or histological examination not done"
ICD9,"018.82 Other specified miliary tuberculosis, bacteriological or histological examination unknown (at present)"
ICD9,"018.83 Other specified miliary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
ICD9,"018.84 Other specified miliary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"018.85 Other specified miliary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"018.86 Other specified miliary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"018.90 Miliary tuberculosis, unspecified, unspecified"
ICD9,"018.91 Miliary tuberculosis, unspecified, bacteriological or histological examination not done"
ICD9,"018.92 Miliary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
ICD9,"018.93 Miliary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
ICD9,"018.94 Miliary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"018.95 Miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"018.96 Miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,020.0 Bubonic plague
ICD9,020.1 Cellulocutaneous plague
ICD9,020.2 Septicemic plague
ICD9,020.3 Primary pneumonic plague
ICD9,020.4 Secondary pneumonic plague
ICD9,"020.5 Pneumonic plague, unspecified"
ICD9,020.8 Other specified types of plague
ICD9,"020.9 Plague, unspecified"
ICD9,021.0 Ulceroglandular tularemia
ICD9,021.1 Enteric tularemia
ICD9,021.2 Pulmonary tularemia
ICD9,021.3 Oculoglandular tularemia
ICD9,021.8 Other specified tularemia
ICD9,021.9 Unspecified tularemia
ICD9,022.0 Cutaneous anthrax
ICD9,022.1 Pulmonary anthrax
ICD9,022.2 Gastrointestinal anthrax
ICD9,022.3 Anthrax septicemia
ICD9,022.8 Other specified manifestations of anthrax
ICD9,"022.9 Anthrax, unspecified"
ICD9,023.0 Brucella melitensis
ICD9,023.1 Brucella abortus
ICD9,023.2 Brucella suis
ICD9,023.3 Brucella canis
ICD9,023.8 Other brucellosis
ICD9,"023.9 Brucellosis, unspecified"
ICD9,024 Glanders
ICD9,025 Melioidosis
ICD9,026.0 Spirillary fever
ICD9,026.1 Streptobacillary fever
ICD9,026.9 Unspecified rat-bite fever
ICD9,027.0 Listeriosis
ICD9,027.1 Erysipelothrix infection
ICD9,027.2 Pasteurellosis
ICD9,027.8 Other specified zoonotic bacterial diseases
ICD9,027.9 Unspecified zoonotic bacterial disease
ICD9,030.0 Lepromatous leprosy [type L]
ICD9,030.1 Tuberculoid leprosy [type T]
ICD9,030.2 Indeterminate leprosy [group I]
ICD9,030.3 Borderline leprosy [group B]
ICD9,030.8 Other specified leprosy
ICD9,"030.9 Leprosy, unspecified"
ICD9,031.0 Pulmonary diseases due to other mycobacteria
ICD9,031.1 Cutaneous diseases due to other mycobacteria
ICD9,031.2 Disseminated due to other mycobacteria
ICD9,031.8 Other specified mycobacterial diseases
ICD9,031.9 Unspecified diseases due to mycobacteria
ICD9,032.0 Faucial diphtheria
ICD9,032.1 Nasopharyngeal diphtheria
ICD9,032.2 Anterior nasal diphtheria
ICD9,032.3 Laryngeal diphtheria
ICD9,032.81 Conjunctival diphtheria
ICD9,032.82 Diphtheritic myocarditis
ICD9,032.83 Diphtheritic peritonitis
ICD9,032.84 Diphtheritic cystitis
ICD9,032.85 Cutaneous diphtheria
ICD9,032.89 Other specified diphtheria
ICD9,"032.9 Diphtheria, unspecified"
ICD9,033.0 Whooping cough due to bordetella pertussis [B. pertussis]
ICD9,033.1 Whooping cough due to bordetella parapertussis [B. parapertussis]
ICD9,033.8 Whooping cough due to other specified organism
ICD9,"033.9 Whooping cough, unspecified organism"
ICD9,034.0 Streptococcal sore throat
ICD9,034.1 Scarlet fever
ICD9,035 Erysipelas
ICD9,036.0 Meningococcal meningitis
ICD9,036.1 Meningococcal encephalitis
ICD9,036.2 Meningococcemia
ICD9,"036.3 Waterhouse-Friderichsen syndrome, meningococcal"
ICD9,"036.40 Meningococcal carditis, unspecified"
ICD9,036.41 Meningococcal pericarditis
ICD9,036.42 Meningococcal endocarditis
ICD9,036.43 Meningococcal myocarditis
ICD9,036.81 Meningococcal optic neuritis
ICD9,036.82 Meningococcal arthropathy
ICD9,036.89 Other specified meningococcal infections
ICD9,"036.9 Meningococcal infection, unspecified"
ICD9,037 Tetanus
ICD9,038.0 Streptococcal septicemia
ICD9,"038.10 Staphylococcal septicemia, unspecified"
ICD9,038.11 Methicillin susceptible Staphylococcus aureus septicemia
ICD9,038.19 Other staphylococcal septicemia
ICD9,038.2 Pneumococcal septicemia [Streptococcus pneumoniae septicemia]
ICD9,038.3 Septicemia due to anaerobes
ICD9,"038.40 Septicemia due to gram-negative organism, unspecified"
ICD9,038.41 Septicemia due to hemophilus influenzae [H. influenzae]
ICD9,038.42 Septicemia due to escherichia coli [E. coli]
ICD9,038.43 Septicemia due to pseudomonas
ICD9,038.44 Septicemia due to serratia
ICD9,038.49 Other septicemia due to gram-negative organisms
ICD9,038.8 Other specified septicemias
ICD9,038.9 Unspecified septicemia
ICD9,039.0 Cutaneous actinomycotic infection
ICD9,039.1 Pulmonary actinomycotic infection
ICD9,039.2 Abdominal actinomycotic infection
ICD9,039.3 Cervicofacial actinomycotic infection
ICD9,039.4 Madura foot
ICD9,039.8 Actinomycotic infection of other specified sites
ICD9,039.9 Actinomycotic infection of unspecified site
ICD9,040.0 Gas gangrene
ICD9,040.1 Rhinoscleroma
ICD9,040.2 Whipple's disease
ICD9,040.3 Necrobacillosis
ICD9,040.81 Tropical pyomyositis
ICD9,040.82 Toxic shock syndrome
ICD9,040.89 Other specified bacterial diseases
ICD9,"041.00 Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, unspecified"
ICD9,"041.01 Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group A"
ICD9,"041.02 Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B"
ICD9,"041.03 Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group C"
ICD9,"041.04 Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]"
ICD9,"041.05 Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group G"
ICD9,"041.09 Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus"
ICD9,"041.10 Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified"
ICD9,041.11 Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site
ICD9,"041.19 Staphylococcus infection in conditions classified elsewhere and of unspecified site, other staphylococcus"
ICD9,041.2 Pneumococcus infection in conditions classified elsewhere and of unspecified site
ICD9,041.3 Friedl�nder's bacillus infection in conditions classified elsewhere and of unspecified site
ICD9,041.41 Shiga toxin-producing Escherichia coli [E. coli] (STEC) O157
ICD9,041.42 Other specified Shiga toxin-producing Escherichia coli [E. coli] (STEC)
ICD9,"041.43 Shiga toxin-producing Escherichia coli [E. coli] (STEC), unspecified"
ICD9,041.49 Other and unspecified Escherichia coli [E. coli]
ICD9,041.5 Hemophilus influenzae [H. influenzae] infection in conditions classified elsewhere and of unspecified site
ICD9,041.6 Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site
ICD9,041.7 Pseudomonas infection in conditions classified elsewhere and of unspecified site
ICD9,"041.81 Other specified bacterial infections in conditions classified elsewhere and of unspecified site, mycoplasma"
ICD9,041.82 Bacteroides fragilis
ICD9,"041.83 Other specified bacterial infections in conditions classified elsewhere and of unspecified site, Clostridium perfringens"
ICD9,"041.84 Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes"
ICD9,"041.85 Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms"
ICD9,041.86 Helicobacter pylori [H. pylori]
ICD9,"041.89 Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other specified bacteria"
ICD9,"090.0 Early congenital syphilis, symptomatic"
ICD9,"090.1 Early congenital syphilis, latent"
ICD9,"090.2 Early congenital syphilis, unspecified"
ICD9,090.3 Syphilitic interstitial keratitis
ICD9,"090.40 Juvenile neurosyphilis, unspecified"
ICD9,090.41 Congenital syphilitic encephalitis
ICD9,090.42 Congenital syphilitic meningitis
ICD9,090.49 Other juvenile neurosyphilis
ICD9,"090.5 Other late congenital syphilis, symptomatic"
ICD9,"090.6 Late congenital syphilis, latent"
ICD9,"090.7 Late congenital syphilis, unspecified"
ICD9,"090.9 Congenital syphilis, unspecified"
ICD9,091.0 Genital syphilis (primary)
ICD9,091.1 Primary anal syphilis
ICD9,091.2 Other primary syphilis
ICD9,091.3 Secondary syphilis of skin or mucous membranes
ICD9,091.4 Adenopathy due to secondary syphilis
ICD9,"091.50 Syphilitic uveitis, unspecified"
ICD9,091.51 Syphilitic chorioretinitis (secondary)
ICD9,091.52 Syphilitic iridocyclitis (secondary)
ICD9,091.61 Secondary syphilitic periostitis
ICD9,091.62 Secondary syphilitic hepatitis
ICD9,091.69 Secondary syphilis of other viscera
ICD9,"091.7 Secondary syphilis, relapse"
ICD9,091.81 Acute syphilitic meningitis (secondary)
ICD9,091.82 Syphilitic alopecia
ICD9,091.89 Other forms of secondary syphilis
ICD9,091.9 Unspecified secondary syphilis
ICD9,"092.0 Early syphilis, latent, serological relapse after treatment"
ICD9,"092.9 Early syphilis, latent, unspecified"
ICD9,"093.0 Aneurysm of aorta, specified as syphilitic"
ICD9,093.1 Syphilitic aortitis
ICD9,"093.20 Syphilitic endocarditis of valve, unspecified"
ICD9,093.21 Syphilitic endocarditis of mitral valve
ICD9,093.22 Syphilitic endocarditis of aortic valve
ICD9,093.23 Syphilitic endocarditis of tricuspid valve
ICD9,093.24 Syphilitic endocarditis of pulmonary valve
ICD9,093.81 Syphilitic pericarditis
ICD9,093.82 Syphilitic myocarditis
ICD9,093.89 Other specified cardiovascular syphilis
ICD9,"093.9 Cardiovascular syphilis, unspecified"
ICD9,094.0 Tabes dorsalis
ICD9,094.1 General paresis
ICD9,094.2 Syphilitic meningitis
ICD9,094.3 Asymptomatic neurosyphilis
ICD9,094.81 Syphilitic encephalitis
ICD9,094.82 Syphilitic parkinsonism
ICD9,094.83 Syphilitic disseminated retinochoroiditis
ICD9,094.84 Syphilitic optic atrophy
ICD9,094.85 Syphilitic retrobulbar neuritis
ICD9,094.86 Syphilitic acoustic neuritis
ICD9,094.87 Syphilitic ruptured cerebral aneurysm
ICD9,094.89 Other specified neurosyphilis
ICD9,"094.9 Neurosyphilis, unspecified"
ICD9,095.0 Syphilitic episcleritis
ICD9,095.1 Syphilis of lung
ICD9,095.2 Syphilitic peritonitis
ICD9,095.3 Syphilis of liver
ICD9,095.4 Syphilis of kidney
ICD9,095.5 Syphilis of bone
ICD9,095.6 Syphilis of muscle
ICD9,"095.7 Syphilis of synovium, tendon, and bursa"
ICD9,095.8 Other specified forms of late symptomatic syphilis
ICD9,"095.9 Late symptomatic syphilis, unspecified"
ICD9,"096 Late syphilis, latent"
ICD9,"097.0 Late syphilis, unspecified"
ICD9,"097.1 Latent syphilis, unspecified"
ICD9,"097.9 Syphilis, unspecified"
ICD9,098.0 Gonococcal infection (acute) of lower genitourinary tract
ICD9,"098.10 Gonococcal infection (acute) of upper genitourinary tract, site unspecified"
ICD9,098.11 Gonococcal cystitis (acute)
ICD9,098.12 Gonococcal prostatitis (acute)
ICD9,098.13 Gonococcal epididymo-orchitis (acute)
ICD9,098.14 Gonococcal seminal vesiculitis (acute)
ICD9,098.15 Gonococcal cervicitis (acute)
ICD9,098.16 Gonococcal endometritis (acute)
ICD9,"098.17 Gonococcal salpingitis, specified as acute"
ICD9,098.19 Other gonococcal infection (acute) of upper genitourinary tract
ICD9,"098.2 Gonococcal infection, chronic, of lower genitourinary tract"
ICD9,"098.30 Chronic gonococcal infection of upper genitourinary tract, site unspecified"
ICD9,"098.31 Gonococcal cystitis, chronic"
ICD9,"098.32 Gonococcal prostatitis, chronic"
ICD9,"098.33 Gonococcal epididymo-orchitis, chronic"
ICD9,"098.34 Gonococcal seminal vesiculitis, chronic"
ICD9,"098.35 Gonococcal cervicitis, chronic"
ICD9,"098.36 Gonococcal endometritis, chronic"
ICD9,098.37 Gonococcal salpingitis (chronic)
ICD9,098.39 Other chronic gonococcal infection of upper genitourinary tract
ICD9,098.40 Gonococcal conjunctivitis (neonatorum)
ICD9,098.41 Gonococcal iridocyclitis
ICD9,098.42 Gonococcal endophthalmia
ICD9,098.43 Gonococcal keratitis
ICD9,098.49 Other gonococcal infection of eye
ICD9,098.50 Gonococcal arthritis
ICD9,098.51 Gonococcal synovitis and tenosynovitis
ICD9,098.52 Gonococcal bursitis
ICD9,098.53 Gonococcal spondylitis
ICD9,098.59 Other gonococcal infection of joint
ICD9,098.6 Gonococcal infection of pharynx
ICD9,098.7 Gonococcal infection of anus and rectum
ICD9,098.81 Gonococcal keratosis (blennorrhagica)
ICD9,098.82 Gonococcal meningitis
ICD9,098.83 Gonococcal pericarditis
ICD9,098.84 Gonococcal endocarditis
ICD9,098.85 Other gonococcal heart disease
ICD9,098.86 Gonococcal peritonitis
ICD9,098.89 Gonococcal infection of other specified sites
ICD9,100.0 Leptospirosis icterohemorrhagica
ICD9,100.81 Leptospiral meningitis (aseptic)
ICD9,100.89 Other specified leptospiral infections
ICD9,"100.9 Leptospirosis, unspecified"
ICD9,101 Vincent's angina
ICD9,102.0 Initial lesions of yaws
ICD9,102.1 Multiple papillomata due to yaws and wet crab yaws
ICD9,102.2 Other early skin lesions of yaws
ICD9,102.3 Hyperkeratosis due to yaws
ICD9,102.4 Gummata and ulcers due to yaws
ICD9,102.5 Gangosa
ICD9,102.6 Bone and joint lesions due to yaws
ICD9,102.7 Other manifestations of yaws
ICD9,102.8 Latent yaws
ICD9,"102.9 Yaws, unspecified"
ICD9,103.0 Primary lesions of pinta
ICD9,103.1 Intermediate lesions of pinta
ICD9,103.2 Late lesions of pinta
ICD9,103.3 Mixed lesions of pinta
ICD9,"103.9 Pinta, unspecified"
ICD9,104.0 Nonvenereal endemic syphilis
ICD9,104.8 Other specified spirochetal infections
ICD9,"104.9 Spirochetal infection, unspecified"
ICD9,110.0 Dermatophytosis of scalp and beard
ICD9,110.1 Dermatophytosis of nail
ICD9,110.2 Dermatophytosis of hand
ICD9,110.3 Dermatophytosis of groin and perianal area
ICD9,110.4 Dermatophytosis of foot
ICD9,110.5 Dermatophytosis of the body
ICD9,110.6 Deep seated dermatophytosis
ICD9,110.8 Dermatophytosis of other specified sites
ICD9,110.9 Dermatophytosis of unspecified site
ICD9,111.0 Pityriasis versicolor
ICD9,111.1 Tinea nigra
ICD9,111.2 Tinea blanca
ICD9,111.3 Black piedra
ICD9,111.8 Other specified dermatomycoses
ICD9,"111.9 Dermatomycosis, unspecified"
ICD9,112.0 Candidiasis of mouth
ICD9,112.1 Candidiasis of vulva and vagina
ICD9,112.2 Candidiasis of other urogenital sites
ICD9,112.3 Candidiasis of skin and nails
ICD9,112.4 Candidiasis of lung
ICD9,112.5 Disseminated candidiasis
ICD9,112.81 Candidal endocarditis
ICD9,112.82 Candidal otitis externa
ICD9,112.83 Candidal meningitis
ICD9,112.84 Candidal esophagitis
ICD9,112.85 Candidal enteritis
ICD9,112.89 Other candidiasis of other specified sites
ICD9,112.9 Candidiasis of unspecified site
ICD9,114.0 Primary coccidioidomycosis (pulmonary)
ICD9,114.1 Primary extrapulmonary coccidioidomycosis
ICD9,114.2 Coccidioidal meningitis
ICD9,114.3 Other forms of progressive coccidioidomycosis
ICD9,114.4 Chronic pulmonary coccidioidomycosis
ICD9,"114.5 Pulmonary coccidioidomycosis, unspecified"
ICD9,"114.9 Coccidioidomycosis, unspecified"
ICD9,"115.00 Infection by Histoplasma capsulatum, without mention of manifestation"
ICD9,"115.01 Infection by Histoplasma capsulatum, meningitis"
ICD9,"115.02 Infection by Histoplasma capsulatum, retinitis"
ICD9,"115.03 Infection by Histoplasma capsulatum, pericarditis"
ICD9,"115.04 Infection by Histoplasma capsulatum, endocarditis"
ICD9,"115.05 Infection by Histoplasma capsulatum, pneumonia"
ICD9,"115.09 Infection by Histoplasma capsulatum, other"
ICD9,"115.10 Infection by Histoplasma duboisii, without mention of manifestation"
ICD9,"115.11 Infection by Histoplasma duboisii, meningitis"
ICD9,"115.12 Infection by Histoplasma duboisii, retinitis"
ICD9,"115.13 Infection by Histoplasma duboisii, pericarditis"
ICD9,"115.14 Infection by Histoplasma duboisii, endocarditis"
ICD9,"115.15 Infection by Histoplasma duboisii, pneumonia"
ICD9,"115.19 Infection by Histoplasma duboisii, other"
ICD9,"115.90 Histoplasmosis, unspecified, without mention of manifestation"
ICD9,"115.91 Histoplasmosis, unspecified, meningitis"
ICD9,"115.92 Histoplasmosis, unspecified, retinitis"
ICD9,"115.93 Histoplasmosis, unspecified, pericarditis"
ICD9,"115.94 Histoplasmosis, unspecified, endocarditis"
ICD9,"115.95 Histoplasmosis, unspecified, pneumonia"
ICD9,"115.99 Histoplasmosis, unspecified, other"
ICD9,116.0 Blastomycosis
ICD9,116.1 Paracoccidioidomycosis
ICD9,116.2 Lobomycosis
ICD9,117.0 Rhinosporidiosis
ICD9,117.1 Sporotrichosis
ICD9,117.2 Chromoblastomycosis
ICD9,117.3 Aspergillosis
ICD9,117.4 Mycotic mycetomas
ICD9,117.5 Cryptococcosis
ICD9,117.6 Allescheriosis [Petriellidosis]
ICD9,117.7 Zygomycosis [Phycomycosis or Mucormycosis]
ICD9,117.8 Infection by dematiacious fungi [Phaehyphomycosis]
ICD9,117.9 Other and unspecified mycoses
ICD9,118 Opportunistic mycoses
ICD9,320.0 Hemophilus meningitis
ICD9,320.1 Pneumococcal meningitis
ICD9,320.2 Streptococcal meningitis
ICD9,320.3 Staphylococcal meningitis
ICD9,320.7 Meningitis in other bacterial diseases classified elsewhere
ICD9,320.81 Anaerobic meningitis
ICD9,"320.82 Meningitis due to gram-negative bacteria, not elsewhere classified"
ICD9,320.89 Meningitis due to other specified bacteria
ICD9,320.9 Meningitis due to unspecified bacterium
ICD9,321.0 Cryptococcal meningitis
ICD9,321.1 Meningitis in other fungal diseases
ICD9,321.2 Meningitis due to viruses not elsewhere classified
ICD9,321.3 Meningitis due to trypanosomiasis
ICD9,321.4 Meningitis in sarcoidosis
ICD9,321.8 Meningitis due to other nonbacterial organisms classified elsewhere
ICD9,322.0 Nonpyogenic meningitis
ICD9,322.1 Eosinophilic meningitis
ICD9,322.2 Chronic meningitis
ICD9,"322.9 Meningitis, unspecified"
ICD9,323.01 Encephalitis and encephalomyelitis in viral diseases classified elsewhere
ICD9,323.02 Myelitis in viral diseases classified elsewhere
ICD9,"323.1 Encephalitis, myelitis, and encephalomyelitis in rickettsial diseases classified elsewhere"
ICD9,"323.2 Encephalitis, myelitis, and encephalomyelitis in protozoal diseases classified elsewhere"
ICD9,323.41 Other encephalitis and encephalomyelitis due to other infections classified elsewhere
ICD9,323.42 Other myelitis due to other infections classified elsewhere
ICD9,323.51 Encephalitis and encephalomyelitis following immunization procedures
ICD9,323.52 Myelitis following immunization procedures
ICD9,323.61 Infectious acute disseminated encephalomyelitis (ADEM)
ICD9,323.62 Other postinfectious encephalitis and encephalomyelitis
ICD9,323.63 Postinfectious myelitis
ICD9,323.71 Toxic encephalitis and encephalomyelitis
ICD9,323.72 Toxic myelitis
ICD9,323.81 Other causes of encephalitis and encephalomyelitis
ICD9,323.82 Other causes of myelitis
ICD9,"323.9 Unspecified causes of encephalitis, myelitis, and encephalomyelitis"
ICD9,324.0 Intracranial abscess
ICD9,324.1 Intraspinal abscess
ICD9,324.9 Intracranial and intraspinal abscess of unspecified site
ICD9,325 Phlebitis and thrombophlebitis of intracranial venous sinuses
ICD9,420.0 Acute pericarditis in diseases classified elsewhere
ICD9,"420.90 Acute pericarditis, unspecified"
ICD9,420.91 Acute idiopathic pericarditis
ICD9,420.99 Other acute pericarditis
ICD9,421.0 Acute and subacute bacterial endocarditis
ICD9,421.1 Acute and subacute infective endocarditis in diseases classified elsewhere
ICD9,"421.9 Acute endocarditis, unspecified"
ICD9,451.0 Phlebitis and thrombophlebitis of superficial vessels of lower extremities
ICD9,451.11 Phlebitis and thrombophlebitis of femoral vein (deep) (superficial)
ICD9,"451.19 Phlebitis and thrombophlebitis of deep veins of lower extremities, other"
ICD9,"451.2 Phlebitis and thrombophlebitis of lower extremities, unspecified"
ICD9,451.81 Phlebitis and thrombophlebitis of iliac vein
ICD9,451.82 Phlebitis and thrombophlebotis of superficial veins of upper extremities
ICD9,451.83 Phlebitis and thrombophlebitis of deep veins of upper extremities
ICD9,"451.84 Phlebitis and thrombophlebitis of upper extremities, unspecified"
ICD9,451.89 Phlebitis and thrombophlebitis of other sites
ICD9,451.9 Phlebitis and thrombophlebitis of unspecified site
ICD9,461.0 Acute maxillary sinusitis
ICD9,461.1 Acute frontal sinusitis
ICD9,461.2 Acute ethmoidal sinusitis
ICD9,461.3 Acute sphenoidal sinusitis
ICD9,461.8 Other acute sinusitis
ICD9,"461.9 Acute sinusitis, unspecified"
ICD9,462 Acute pharyngitis
ICD9,463 Acute tonsillitis
ICD9,464.00 Acute laryngitis without mention of obstruction
ICD9,464.01 Acute laryngitis with obstruction
ICD9,464.10 Acute tracheitis without mention of obstruction
ICD9,464.11 Acute tracheitis with obstruction
ICD9,464.20 Acute laryngotracheitis without mention of obstruction
ICD9,464.21 Acute laryngotracheitis with obstruction
ICD9,464.30 Acute epiglottitis without mention of obstruction
ICD9,464.31 Acute epiglottitis with obstruction
ICD9,464.4 Croup
ICD9,"464.50 Supraglottitis unspecified, without obstruction"
ICD9,"464.51 Supraglottitis unspecified, with obstruction"
ICD9,465.0 Acute laryngopharyngitis
ICD9,465.8 Acute upper respiratory infections of other multiple sites
ICD9,465.9 Acute upper respiratory infections of unspecified site
ICD9,481 Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia]
ICD9,482.0 Pneumonia due to Klebsiella pneumoniae
ICD9,482.1 Pneumonia due to Pseudomonas
ICD9,482.2 Pneumonia due to Hemophilus influenzae [H. influenzae]
ICD9,"482.30 Pneumonia due to Streptococcus, unspecified"
ICD9,"482.31 Pneumonia due to Streptococcus, group A"
ICD9,"482.32 Pneumonia due to Streptococcus, group B"
ICD9,482.39 Pneumonia due to other Streptococcus
ICD9,"482.40 Pneumonia due to Staphylococcus, unspecified"
ICD9,482.41 Methicillin susceptible pneumonia due to Staphylococcus aureus
ICD9,482.49 Other Staphylococcus pneumonia
ICD9,482.81 Pneumonia due to anaerobes
ICD9,482.82 Pneumonia due to escherichia coli [E. coli]
ICD9,482.83 Pneumonia due to other gram-negative bacteria
